Name,Address,Country,Locality,postalCode,Telephone,Latitude,Longitude,Amenities,Rating,Reviews,Transit,URL
100 University Ave,100 University Avenue Toronto ON M5J 1V6,CA,Toronto,M5J 1V6,+16479523263,43.6470415,-79.3849415,"•  Bike storage
•  Business-class printers
•  Complimentary refreshments
•  Conference rooms
•  Dog friendly
•  Enhanced HVAC standards
•  Enhanced cleaning services
•  Event space
•  Honesty market
•  Mail & package handling
•  Mother's room
•  Natural light
•  Onsite staff
•  Parking
•  Phone booths
•  Professional events and programming
•  Stocked kitchens
•  Tech Services
•  Touch-free dispensers
•  Unique common areas",4.0,4,"•  Bike - Bike Share Toronto at Wellington and Simcoe St (3 blocks away)
•  Bus - 141, 143, 144, 145 at Adelaide St West at Simcoe St (4 blocks away)
•  Freeway - Gardiner Expy (3.5km away) 
•  Metro - 1 Subway at St Andrew (1 block away) | 304, 503, 504, 514 at King St West Light Rail Station (1 block away) | BR, KI, LE, LW, MI, RH, ST trains at Union Station (4 blocks away)
•  Parking - 70 University Ave Lot #372 (1 block away)",https://www.wework.com/buildings/100-university-ave--toronto
100 Harris St,100 Harris St Sydney NSW 2009,AU,Sydney,2009,+61283176930,-33.8686254,151.1933352,"•  Bike storage
•  Business-class printers
•  Complimentary refreshments
•  Conference rooms
•  Dog friendly
•  Enhanced HVAC standards
•  Enhanced cleaning services
•  Event space
•  Mail & package handling
•  Mother's room
•  Onsite staff
•  Outdoor space
•  Parking
•  Phone booths
•  Professional events and programming
•  Recreational games
•  Showers
•  Stocked kitchens
•  Touch-free dispensers
•  Unique common areas
•  Wellness room",4.6,51,"•  Bike - Storage available
•  Bus - Harris St. near John St. - Bus Route 389
•  Ferry - Pyrmont Bay Wharf
•  Freeway - Western Distributor highway: access to A4 / A40 / Western Distributor
•  Metro - The Star Light Rail Station - L1 Dulwich Hill Line",https://www.wework.com/buildings/100-harris-st--sydney--NSW
1003 E 4th Pl,1003 E. 4th Place Los Angeles CA 90013,US,Los Angeles,90013,+12132048394,34.0421463,-118.2334367,"•  Business-class printers
•  Complimentary refreshments
•  Conference rooms
•  Enhanced HVAC standards
•  Enhanced cleaning services
•  Onsite staff
•  Phone booths
•  Professional events and programming
•  Tech Services
•  Touch-free dispensers
•  Unique common areas",No ratings,No reviews,,https://www.wework.com/buildings/1003-e-4th-pl--los-angeles--CA
1001 Woodward Ave,1001 Woodward Ave Detroit MI 48226,US,Detroit,48226,+13133065485,42.3320134,-83.0476329,"•  Bike storage
•  Business-class printers
•  Complimentary refreshments
•  Conference rooms
•  Enhanced HVAC standards
•  Enhanced cleaning services
•  Onsite staff
•  Phone booths
•  Professional events and programming
•  Recording studio 
•  Recreational games
•  Tech Services
•  Touch-free dispensers
•  Unique common areas
•  Wellness room",4.7,22,"•  Bike - Bike storage available
•  Freeway - Woodward Ave, Jefferson Ave 
•  Metro - The Q line stops right in front of the building.
•  Parking - Parking available",https://www.wework.com/buildings/1001-woodward-ave--detroit--MI
1725 Hughes Landing Boulevard,1725 Hughes Landing Boulevard The Woodlands TX 77380,US,The Woodlands,77380,+12812054640,30.171973,-95.468311,"•  Business-class printers
•  Complimentary refreshments
•  Conference rooms
•  Enhanced HVAC standards
•  Enhanced cleaning services
•  Onsite staff
•  Phone booths
•  Professional events and programming
•  Tech Services
•  Touch-free dispensers
•  Unique common areas",4.5,4,"•  Bike - ECO EZ-Riders (.8 miles away)
•  Bus - 099 at Paramatta Ln @ Imperial Valley Dr (12 miles away)
•  Freeway - I-45 (4 miles away)",https://www.wework.com/buildings/1725-hughes-landing-boulevard--houston--TX
Zenia,"Zenia Building, Hiranandani Circle, Hiranandani Business Park, Off Ghodbunder Road, Thane Mumbai MH 400607",IN,Mumbai,400607,+911800123365365,19.254507,72.9815152,"•  Business-class printers
•  Complimentary refreshments
•  Conference rooms
•  Dog friendly
•  Enhanced HVAC standards
•  Enhanced cleaning services
•  Event space
•  Food hall 
•  Honesty market
•  Mail & package handling
•  Mother's room
•  Natural light
•  Onsite staff
•  Parking
•  Phone booths
•  Professional events and programming
•  Stocked kitchens
•  Tech Services
•  Touch-free dispensers
•  Unique common areas
•  Wellness room",4.4,34,•  Bus - Hiranandani Stop (2 minute walk) ,https://www.wework.com/buildings/zenia--mumbai
Yeouido Station,"20F, 83, Uisadang-daero Yeongdeungpo-gu Seoul 07325",KR,Seoul,07325,+8225212824,37.5233278,126.9234386,"•  Business-class printers
•  Complimentary refreshments
•  Conference rooms
•  Enhanced HVAC standards
•  Enhanced cleaning services
•  Espresso bar
•  Event space
•  Honesty market
•  Mail & package handling
•  Onsite staff
•  Outdoor space
•  Parking
•  Phone booths
•  Professional events and programming
•  Recreational games
•  Stocked kitchens
•  Tech Services
•  Touch-free dispensers
•  Unique common areas
•  Wellness room",No ratings,No reviews,"•  Freeway - Uisadaing-daero
•  Metro - Close to Yeouido Station Line 5 & Line 9 and Yeouido transit Center",https://www.wework.com/buildings/yeouido-station--seoul
Yeoksam Station II,"1F, 14, Teheran-ro, 26-gil Gangnam-gu Seoul 06236",KR,Seoul,06236,+8225213570,37.4992135,127.0359171,"•  Business-class printers
•  Complimentary refreshments
•  Conference rooms
•  Enhanced HVAC standards
•  Onsite staff
•  Parking
•  Phone booths
•  Professional events and programming
•  Tech Services
•  Touch-free dispensers
•  Unique common areas",No ratings,No reviews,"•  Freeway - Teheran-ro 
•  Metro - Subway Line 2 at Yeoksam Station (4 minute walk)",https://www.wework.com/buildings/yeoksam-station-ii--seoul
Yeoksam Station,"3F, 142 Teheran-ro Gangnam-gu Seoul 06236",KR,Seoul,06236,+8225219025,37.4996847,127.0349215,"•  Business-class printers
•  Complimentary refreshments
•  Conference rooms
•  Enhanced HVAC standards
•  Enhanced cleaning services
•  Espresso bar
•  Event space
•  Mail & package handling
•  Materials library
•  Natural light
•  Onsite staff
•  Parking
•  Phone booths
•  Professional events and programming
•  Recreational games
•  Stocked kitchens
•  Tech Services
•  Touch-free dispensers
•  Unique common areas
•  Wellness room",4.4,22,"•  Metro - Take Subway line 2, Yeoksam Station exit #3",https://www.wework.com/buildings/yeoksam-station--seoul
Wynwood Garage,360 NW 27th Street Miami FL 33127,US,Miami,33127,+17862200903,25.801999,-80.201827,"•  Business-class printers
•  Complimentary refreshments
•  Conference rooms
•  Dog friendly
•  Electric vehicle charging stations
•  Enhanced HVAC standards
•  Enhanced cleaning services
•  Espresso bar
•  Event space
•  Mail & package handling
•  Mother's room
•  Natural light
•  Onsite staff
•  Outdoor space
•  Parking
•  Phone booths
•  Professional events and programming
•  Recreational games
•  Stocked kitchens
•  Tech Services
•  Touch-free dispensers
•  Unique common areas
•  Wellness room",4.3,8,•  Freeway - I-95 (5 minute drive),https://www.wework.com/buildings/wynwood-garage--miami--FL
Williams Square,5215 North O'Connor Boulevard Irving TX 75039,US,Irving,75039,+19724743695,32.8710978,-96.9388135,"•  Business-class printers
•  Complimentary refreshments
•  Conference rooms
•  Electric vehicle charging stations
•  Enhanced HVAC standards
•  Enhanced cleaning services
•  Espresso bar
•  Event space
•  Fitness center
•  Food hall 
•  Mail & package handling
•  Mother's room
•  Natural light
•  Onsite staff
•  Parking
•  Phone booths
•  Professional events and programming
•  Showers
•  Stocked kitchens
•  Tech Services
•  Touch-free dispensers
•  Unique common areas
•  WeMRKT
•  Wellness room",4.1,7,"•  Bus - 507 at O'Connor/Lake Carolyn 
•  Freeway - 114 (0.6 miles away)
•  Parking - SP+ Parking (onsite)",https://www.wework.com/buildings/williams-square--dallas-fort-worth--TX
White Square,"Butyrsky Val Ulitsa, 10 Moscow MOS 125047",RU,Moscow,125047,+74951181605,55.778461,37.585925,"•  Business-class printers
•  Complimentary refreshments
•  Conference rooms
•  Dog friendly
•  Enhanced HVAC standards
•  Enhanced cleaning services
•  Event space
•  Onsite staff
•  Phone booths
•  Professional events and programming
•  Tech Services
•  Touch-free dispensers
•  Unique common areas
•  Wellness room",No ratings,No reviews,"•  Freeway - Leningradsky Avenue
•  Metro - Subway Line 5 at Belorusskaya Station ( 2 minute walk) | Subway Line 2 at Belorusskaya Station (4 minute walk)",https://www.wework.com/buildings/white-square--moscow
WeWork Place,501 East Kennedy Boulevard Tampa FL 33602,US,Tampa,33602,+18132806130,27.948233,-82.456084,"•  Bike storage
•  Business-class printers
•  Complimentary refreshments
•  Conference rooms
•  Enhanced HVAC standards
•  Enhanced cleaning services
•  Espresso bar
•  Event space
•  Fitness center
•  Mail & package handling
•  Mother's room
•  Natural light
•  Onsite staff
•  Phone booths
•  Professional events and programming
•  Recreational games
•  Showers
•  Stocked kitchens
•  Tech Services
•  Touch-free dispensers
•  Unique common areas
•  Wellness room",5.0,6,"•  Freeway - Conveniently located just off Kennedy Blvd | Tampa International Airport (10 minute drive)
•  Parking - Attached parking garage with 1.3 parking spaces per 1,000 RSF (additional fee)",https://www.wework.com/buildings/wework-place--tampa--FL
Weteringschans 165,Weteringschans 165 C Amsterdam Netherlands 1017XD,NL,Amsterdam,1017XD,+31208081143,52.359741,4.8917851,"•  Business-class printers
•  Complimentary refreshments
•  Conference rooms
•  Enhanced HVAC standards
•  Enhanced cleaning services
•  Event space
•  Onsite staff
•  Phone booths
•  Professional events and programming
•  Tech Services
•  Touch-free dispensers
•  Unique common areas",4.2,39,"•  Ferry - Central Station
•  Metro - Weesperplein: 50 or 54 (20 minute walk)
•  Parking - Apcoa, located at Eerste van der Helststraat 6 (€2.50 per 30 minutes, daily max is €42) ",https://www.wework.com/buildings/weteringschans-165--amsterdam
Westview,316 West 12th Street Austin TX 78701,US,Austin,78701,+15122564037,30.2750363,-97.7434527,"•  Bike storage
•  Business-class printers
•  Complimentary refreshments
•  Conference rooms
•  Enhanced HVAC standards
•  Enhanced cleaning services
•  Espresso bar
•  Event space
•  Fitness center
•  Mail & package handling
•  Mother's room
•  Natural light
•  Onsite staff
•  Outdoor space
•  Parking
•  Phone booths
•  Professional events and programming
•  Showers
•  Stocked kitchens
•  Tech Services
•  Touch-free dispensers
•  Unique common areas
•  WeMRKT
•  Wellness room",4.0,4,"•  Bike - B-Cycle at 1090 Congress Ave (3 blocks away)
•  Bus - 105, 980, 981, 982, 985, 987, 990 at Lavaca/12th (less than 1 block away)
•  Freeway - I-35 (1 mile away)
•  Metro - 550 at Downtown Station (1 mile away)
•  Parking - 1108 Lavaca St Parking (less than 1 block away)",https://www.wework.com/buildings/westview--austin--TX
Wells Fargo Center,1700 Lincoln Street 17th Floor Denver CO 80203,US,Denver,80203,+13039007406,39.7434605,-104.9853874,"•  Assembly hall
•  Bike storage
•  Business-class printers
•  Complimentary refreshments
•  Conference rooms
•  Enhanced HVAC standards
•  Enhanced cleaning services
•  Espresso bar
•  Event space
•  Fitness center
•  Honesty market
•  Mail & package handling
•  Mother's room
•  Natural light
•  Onsite staff
•  Parking
•  Phone booths
•  Professional events and programming
•  Showers
•  Stocked kitchens
•  Tech Services
•  Touch-free dispensers
•  Unique common areas
•  Wellness room",4.2,40,"•  Bike - B-cycle at Glenarm Station (5 blocks away)
•  Bus - Metroride at Lincoln St/E 17th Ave (onsite)
•  Freeway - I70 at Lincoln St (2 blocks away)
•  Parking - LAZ Parking at Lincoln St/E 17th Ave (onsite)",https://www.wework.com/buildings/wells-fargo-center--denver--CO
Yuexiu Financial Building,"28 Zhujiang E Rd, Tianhe Guangzhou, Guangdong Guangzhou",CN,Guangzhou,,,23.121386,113.331558,"•  Business-class printers
•  Complimentary refreshments
•  Conference Rooms
•  Enhanced cleaning services
•  Hands-free dispensers
•  High-speed Wi-Fi
•  Meeting rooms
•  Micro-Roasted Coffee
•  Onsite staff
•  Phone booths
•  Professional & social events
•  Unique common areas",No ratings,No reviews,•  Metro - Women and Children's Center station on APM line,https://www.wework.cn/building/yuexiujinrong?lang=en-us
Yueshang Plaza,1 South Wuning Road Jing'an District Shanghai,CN,Shanghai,,,31.226454,121.436957,"•  Business-class printers
•  Complimentary refreshments
•  Conference Rooms
•  Enhanced cleaning services
•  High-speed Wi-Fi
•  Meeting rooms
•  Micro-Roasted Coffee
•  Onsite staff
•  Phone booths
•  Professional & social events
•  Unique common areas
•  Wellness room",No ratings,No reviews,"•  Metro - Jiangsu Road station on Line 11
•  Metro - Jing'an Temple station on Line 2",https://www.wework.cn/building/wuningnanlu?lang=en-us
YF Life Tower,"10/F, YF Life Tower, 33 Lockhart Road Wanchai Hong Kong",HK,Hong Kong,,,22.275644,114.175049,"•  Business-class printers
•  Complimentary refreshments
•  Conference Rooms
•  Enhanced cleaning services
•  Hands-free dispensers
•  High-speed Wi-Fi
•  Meeting rooms
•  Micro-Roasted Coffee
•  Onsite staff
•  Phone booths
•  Professional & social events
•  Unique common areas",No ratings,No reviews,•  Metro - Wan Chai station on Island Line,https://wework.hk/locations/yf-life-tower?lang=en-us
Weesperstraat 61-105,Weesperstraat 61-105 Amsterdam Netherlands 1018VN,NL,Amsterdam,1018VN,+31208081143,52.3650429,4.9061374,"•  Bike storage
•  Business-class printers
•  Complimentary refreshments
•  Conference rooms
•  Dog friendly
•  Enhanced HVAC standards
•  Enhanced cleaning services
•  Event space
•  Mail & package handling
•  Natural light
•  Onsite staff
•  Phone booths
•  Professional events and programming
•  Recreational games
•  Showers
•  Stocked kitchens
•  Tech Services
•  Touch-free dispensers
•  Unique common areas",4.5,42,"•  Bike - Storage available
•  Bus - Waterlooplein + Weesperplein
•  Ferry - Central Station
•  Freeway - Amsterdam Ring
•  Metro - Waterlooplein (Metro) + Weesperplein (Metro + Tram)
•  Parking - Q-park Weespersplein, located at First Boerhaavestraat, 1091GM Amsterdam, NL.",https://www.wework.com/buildings/weesperstraat-61-105--amsterdam
Xintiandi Xinli,"3rd floor, No. 380 South Huangpu Rd, Huangpu District",CN,Shanghai,,,31.219452,121.475212,"•  Business-class printers
•  Conference Rooms
•  Enhanced cleaning services
•  High-speed Wi-Fi
•  Meeting rooms
•  Micro-Roasted Coffee
•  Onsite staff
•  Parking
•  Phone booths
•  Professional & social events
•  Service dogs permitted
•  Stocked kitchens
•  Unique common areas",No ratings,No reviews,"•  Metro - Huangpi South Road station on Line 1
•  Metro - Xintiandi station on Line 10
•  Metro - Xintiandi station on Line 13",https://www.wework.cn/building/xintiandixinli?lang=en-us
Waterfront Plaza,50-60 Francisco Street San Francisco CA 94133,US,San Francisco,94133,+14153267929,37.8053295,-122.4061057,"•  Assembly hall
•  Bike storage
•  Business-class printers
•  Complimentary refreshments
•  Conference rooms
•  Dog friendly
•  Enhanced HVAC standards
•  Enhanced cleaning services
•  Espresso bar
•  Event space
•  Mail & package handling
•  Mother's room
•  Natural light
•  Onsite staff
•  Outdoor space
•  Parking
•  Phone booths
•  Professional events and programming
•  Recreational games
•  Showers
•  Stocked kitchens
•  Tech Services
•  Touch-free dispensers
•  Unique common areas
•  Wellness room",4.8,25,"•  Bike - Ford GoBike Station (.4 miles away)
•  Bus - 8BX at Bay St & Midway St (4 minute walk), BART Shuttle (onsite)
•  Freeway - I-80 (1.6 miles away)
•  Metro - Light Rail E and F at The Embarcadero & Sansome Street (4 minute walk)
•  Parking - SP+ Parking (2 blocks away)",https://www.wework.com/buildings/waterfront-plaza--sf-bay-area--CA
World Trade Tower,World Trade Tower No. 500 Guangdong Road Shanghai,CN,Shanghai,,,31.232571,121.48191,"•  Business-class printers
•  Complimentary refreshments
•  Conference Rooms
•  Enhanced cleaning services
•  High-speed Wi-Fi
•  Meeting rooms
•  Micro-Roasted Coffee
•  Onsite staff
•  Phone booths
•  Professional & social events
•  Stocked kitchens
•  Unique common areas",No ratings,No reviews,"•  Metro - East Nanjing Road station on Line 10
•  Metro - People's Square station on Line 1
•  Metro - People's Square station on Line 2
•  Metro - People's Square station on Line 8
•  Metro - South Huangpi Road station on Line 2
•  Metro - Yuyuan station on Line 10",https://www.wework.cn/building/shijiemaoyidasha?lang=en-us
Warschauer Platz 11-13,Warschauer Platz 11-13 Berlin BE 10245,DE,Berlin,10245,+493030808409,52.5031148123416,13.4482738003135,"•  Bike storage
•  Business-class printers
•  Complimentary refreshments
•  Conference rooms
•  Dog friendly
•  Enhanced HVAC standards
•  Enhanced cleaning services
•  Event space
•  Mother's room
•  Onsite staff
•  Outdoor space
•  Parking
•  Phone booths
•  Professional events and programming
•  Recreational games
•  Screening room
•  Tech Services
•  Touch-free dispensers
•  Unique common areas",4.9,6,"•  Bus - Bus 300 - Stop: Berlin Warschauer Straße
•  Metro - S- and U-Bahn Warschauer Straße, Tram M10 S-Bahnhof Warschauer Straße ",https://www.wework.com/buildings/warschauer-platz-11-13--berlin
Wallarkaden,Rudolfplatz 7 Cologne Nordrhein-Westfahlen 50674,DE,Cologne,50674,+493030808409,50.9360701420335,6.94009968472458,"•  Business-class printers
•  Complimentary refreshments
•  Conference rooms
•  Dog friendly
•  Enhanced cleaning services
•  Event space
•  Onsite staff
•  Parking
•  Phone booths
•  Professional events and programming
•  Tech Services
•  Unique common areas",No ratings,No reviews,•  Metro - Rudolfplatz (1 minute walk) | Friesenplatz (5 minute walk) | Zülpicher Platz (5 minute walk) | Barbarossaplatz (10 minute walk),https://www.wework.com/buildings/wallarkaden--cologne
Wonderful World Commercial Plaza,38 East 3rd Ring Road Beijing 100026,CN,Beijing,,,39.928146,116.476202,"•  Business-class printers
•  Complimentary refreshments
•  Conference Rooms
•  Enhanced cleaning services
•  High-speed Wi-Fi
•  Meeting rooms
•  Micro-Roasted Coffee
•  Onsite staff
•  Phone booths
•  Professional & social events
•  Stocked kitchens
•  Unique common areas",No ratings,No reviews,"•  Metro - Hujialou station on Line 10
•  Metro - Hujialou station on Line 6",https://www.wework.cn/building/wonderful-world-commercial-plaza?lang=en-us
Vi-John Tower,"Vi-John Tower 393, Phase 3 Udyog' Vihar Gurugram HR 122016",IN,Gurugram,122016,+911800123365365,28.505637,77.0890011,"•  Barista
•  Bike storage
•  Business-class printers
•  Complimentary refreshments
•  Conference rooms
•  Dog friendly
•  Enhanced HVAC standards
•  Enhanced cleaning services
•  Event space
•  Mail & package handling
•  Mother's room
•  Natural light
•  Onsite staff
•  Outdoor space
•  Parking
•  Phone booths
•  Professional events and programming
•  Recreational games
•  Stocked kitchens
•  Tech Services
•  Touch-free dispensers
•  Unique common areas",No ratings,No reviews,"•  Bus - 112D, Uttam Nagar Terminal Buses at Udgoy Vihar Pase 2/3 Bus Station (4 minute walk)
•  Metro - Rapid Metro at Indusind Bank Cyber City Metro Station (7 minute drive)",https://www.wework.com/buildings/vi-john-tower--gurugram--HR
